regions;iso3;deskStudy;name;year;boreal;temperate;tropical;subtropical;1a_forestArea;1a_otherWoodedLand;1a_landArea;1b_naturallyRegeneratingForest;1b_plantedForest;1b_plantationForest;1b_plantationForestIntroduced;1b_otherPlantedForest;1c_primary;1c_tempUnstocked;1c_bamboos;1c_mangroves;1c_rubber;1f_palms;1f_treeOrchards;1f_agroforestry;1f_other;1f_treesUrbanSettings;2a_gs_ha_nat_reg;2a_gs_ha_forest;2a_gs_ha_plantation;2a_gs_ha_planted;2a_gs_ha_owl;2a_gs_ha_other_planted;2a_gs_tot_nat_reg;2a_gs_tot_planted;2a_gs_tot_plantation;2a_gs_tot_other_planted;2a_gs_tot_forest;2a_gs_tot_owl;2b_native_#1;2b_native_#2;2b_native_#3;2b_native_#4;2b_native_#5;2b_native_#6;2b_native_#7;2b_native_#8;2b_native_#9;2b_native_#10;2b_native_remaining;2b_native_total;2b_introduced_#1;2b_introduced_#2;2b_introduced_#3;2b_introduced_#4;2b_introduced_#5;2b_introduced_remaining;2b_introduced_total;2b_total_gs;2c_agb;2c_bgb;2c_dwb;2d_carbon_agb;2d_carbon_bgb;2d_carbon_dw;2d_carbon_litter;2d_carbon_soil;2d_soil_depth_cm;3a_prim_prod;3a_prim_prot;3a_prim_biodiv;3a_prim_socserv;3a_prim_multi;3a_prim_other;3a_prim_no_unknown;3a_tot_prod;3a_tot_prot;3a_tot_biodiv;3a_tot_socserv;3a_tot_other;3b_protected;3b_forMngt;3b_mngtProt;4a_priv_own;4a_individ;4a_bus_inst_fo;4a_indigenous_fo;4a_pub_own;4a_fo_unknown;4b_pub_admin;4b_individuals;4b_bus_inst_mr;4b_indigenous_mr;4b_unknown;5c_y_n;6a_policies_national;6a_policies_sub_national;6a_legislation_national;6a_legislation_sub_national;6a_platform_national;6a_platform_sub_national;6a_traceability_national;6a_traceability_sub_national;6b_pfe_y_n;6b_pfe_area;7b_phd_tot;7b_phd_fem;7b_phd_male;7b_msc_tot;7b_msc_fem;7b_msc_male;7b_ba_tot;7b_ba_fem;7b_ba_male;7b_tech_tot;7b_tech_fem;7b_tech_male;7b_total_tot;7b_total_fem;7b_total_male;7a_employment_tot;7a_employment_fem;7a_employment_male;7a_emp_forestry_tot;7a_emp_forestry_fem;7a_emp_forestry_male;7a_emp_logging_tot;7a_emp_logging_fem;7a_emp_logging_male;7a_emp_nwfp_tot;7a_emp_nwfp_fem;7a_emp_nwfp_male;7a_emp_support_tot;7a_emp_support_fem;7a_emp_support_male
North and Central America;ABW;Desk study;Aruba;1990;0;0;100;0;0.42;0;18;0.42;0;0;0;0;;;;0.42;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;;;;;;;;;;;;;;0.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North and Central America;ABW;Desk study;Aruba;2000;0;0;100;0;0.42;0;18;0.42;0;0;0;0;;;;0.42;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;;;;;;;;;;;;;;0.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North and Central America;ABW;Desk study;Aruba;2010;0;0;100;0;0.42;0;18;0.42;0;0;0;0;;;;0.42;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;;;;;;;;;;;;;;0.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North and Central America;ABW;Desk study;Aruba;2015;0;0;100;0;0.42;0;18;0.42;0;0;0;0;;;;0.42;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;;;;;;;;;;;;;;0.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North and Central America;ABW;Desk study;Aruba;2020;0;0;100;0;0.42;0;18;0.42;0;0;0;0;;;;0.42;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;;;;;;;;;;;;;;0.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asia;AFG;;Afghanistan;1990;0;3;0;97;1208.44;571.61;65286;1208.44;0;0;0;0;;;;;;;20;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;;;;;;;;;;;;;;1208.44;;;;;;;;;0;0;0;0;1208.44;0;1208.44;0;0;0;;yes;yes;yes;yes;yes;yes;yes;no;no;yes;1208.44;;;;;;;220;20;200;;;;;;;;;;;;;;;;;;;;;
Asia;AFG;;Afghanistan;2000;0;3;0;97;1208.44;571.61;65286;1208.44;0;0;0;0;;;;;;;40;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;;;;;;;;;;5;;;;1203.44;;;5;;;;;;0;0;0;0;1208.44;0;1208.44;0;0;0;;yes;yes;yes;yes;yes;yes;yes;no;no;yes;1208.44;;;;;;;250;30;220;;;;;;;;;;;;;;;;;;;;;
Asia;AFG;;Afghanistan;2010;0;3;0;97;1208.44;571.61;65286;1208.44;0;0;0;0;;;;;;;45;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;;;;;;;;;;60;;;;1148.44;;;60;;;;;;0;0;0;0;1208.44;0;1208.44;0;0;0;;yes;yes;yes;yes;yes;yes;yes;no;no;yes;1208.44;;;;;;;250;30;220;180;20;160;;;;;;;;;;;;;;;;;;
Asia;AFG;;Afghanistan;2015;0;3;0;97;1208.44;571.61;65286;1208.44;0;0;0;0;;;;;;;117.64;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;;;;;;;;;;95;;;;1113.44;;;95;;;;;;0;0;0;0;1208.44;0;1208.44;0;0;0;;yes;yes;yes;yes;yes;yes;yes;no;no;yes;1208.44;;;;;;;300;50;250;400;100;300;;;;;;;;;;;;;;;;;;
Asia;AFG;;Afghanistan;2020;0;3;0;97;1208.44;571.61;65286;1208.44;0;0;0;0;;;;;;;120;0.62;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;0;;;;;;;;;;;;95;;;;1113.44;;;95;;;;18;;;;;;;;;;;;;yes;yes;yes;yes;yes;yes;yes;no;no;yes;1208.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
